"Statut";"URL";"Route";"Title HTML final";"Title px";"Statut title";"Description";"Description px";"Statut description";"Probleme";"Source code"
"Bon";"https://jobmi.fr/blog/bilan-de-competences-gratuit-guide";"/blog/bilan-de-competences-gratuit-guide";"Bilan de compétences gratuit : tout ce qu'il faut savoir en 2026 | Jobmi";"424/600";"Bon";"Guide complet du bilan de compétences gratuit : qui y a droit, comment l'obtenir gratuitement, déroulement et différence avec un test d'orientation.";"877/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/comment-preparer-une-immersion-metier";"/blog/comment-preparer-une-immersion-metier";"Comment préparer une immersion métier avant de te lancer | Jobmi";"398/600";"Bon";"Préparer une immersion métier : objectifs, questions à poser, signaux à observer et bilan pour confirmer une orientation ou une reconversion.";"841/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/comment-trouver-le-job-de-tes-reves-a-20-ans-guide-ultime-pour-jeunes-en-reconversion";"/blog/comment-trouver-le-job-de-tes-reves-a-20-ans-guide-ultime-pour-jeunes-en-reconversion";"Comment trouver le job de tes rêves à 20 ans : guide ultime pour jeunes en reconversion | Jobmi";"574/600";"Bon";"À 20 ans, comment trouver un job qui te correspond vraiment ? Méthode concrète, pistes métiers et étapes pour te réorienter sans choisir par défaut.";"881/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/erreurs-reconversion-jeune";"/blog/erreurs-reconversion-jeune";"Reconversion jeune : les erreurs à éviter entre 18 et 25 ans | Jobmi";"401/600";"Bon";"Les erreurs à éviter pour une reconversion jeune : choisir une formation trop vite, négliger le terrain, rester seul et confondre fuite et projet.";"835/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/financer-reconversion-jeune";"/blog/financer-reconversion-jeune";"Financer sa reconversion quand on est jeune : les options réalistes | Jobmi";"451/600";"Bon";"Comment financer une reconversion jeune : alternance, CPF, Mission Locale, aides régionales, France Travail et formations courtes.";"791/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/financer-sa-formation-sans-cpf";"/blog/financer-sa-formation-sans-cpf";"Comment financer sa formation sans CPF : 8 solutions en 2026 | Jobmi";"421/600";"Bon";"Comment financer sa formation sans CPF en 2026 : alternance, France Travail, OPCO, aides régionales et MOOC gratuits — toutes les solutions.";"849/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/jobshadowing-decouvrir-metier";"/blog/jobshadowing-decouvrir-metier";"Jobshadowing : suivre un pro pour découvrir un métier | Jobmi";"372/600";"Bon";"Jobshadowing : définition, utilité, méthode pour trouver un professionnel et différence avec une PMSMP ou un stage d’observation.";"784/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/metiers-sans-diplome-qui-paient-bien";"/blog/metiers-sans-diplome-qui-paient-bien";"Top 15 des métiers sans diplôme qui paient bien en 2026 | Jobmi";"388/600";"Bon";"Top 15 des métiers sans diplôme qui paient bien en 2026 : salaires, formations accessibles et conseils pour se lancer rapidement.";"780/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/mission-locale-orientation-jeune";"/blog/mission-locale-orientation-jeune";"Mission Locale : comment t'en servir pour ton orientation | Jobmi";"390/600";"Bon";"Mission Locale et orientation jeune : accompagnement, immersion, aides, formation et méthode pour préparer ton premier rendez-vous.";"801/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/que-faire-apres-le-bac-sans-idee";"/blog/que-faire-apres-le-bac-sans-idee";"Que faire après le bac quand tu n'as aucune idée ? | Jobmi";"346/600";"Bon";"Que faire après le bac sans idée : méthode pour éliminer, explorer les familles de métiers, tester le terrain et choisir une prochaine étape.";"824/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/reconversion-apres-une-l1";"/blog/reconversion-apres-une-l1";"Réorientation après une L1 : que faire si ta première année ne te convient pas ? | Jobmi";"520/600";"Bon";"Réorientation après une L1 : passerelles, BTS, BUT, alternance, formations courtes et méthode pour choisir une suite cohérente.";"764/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/reconversion-professionnelle-20-ans-guide-complet";"/blog/reconversion-professionnelle-20-ans-guide-complet";"Plan d’action reconversion à 20 ans : quoi faire en 30 jours | Jobmi";"404/600";"Bon";"Plan d’action reconversion à 20 ans : 30 jours pour faire le point, explorer les métiers, tester le terrain et préparer une formation sans se précipiter.";"884/920";"Bon";"";"app/blog/[slug]/page.tsx override + data/articles.ts"
"Bon";"https://jobmi.fr/blog/se-reconvertir-apres-bac-plus-2";"/blog/se-reconvertir-apres-bac-plus-2";"Se reconvertir après un bac+2 : 5 chemins possibles | Jobmi";"360/600";"Bon";"Se reconvertir après un bac+2 : licence pro, formation courte, VAE, entrepreneuriat ou auto-formation — les 5 chemins et comment choisir le bon.";"855/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/utiliser-cpf-compte-personnel-formation";"/blog/utiliser-cpf-compte-personnel-formation";"CPF : comment utiliser son compte personnel de formation en 2026 | Jobmi";"446/600";"Bon";"Guide complet pour utiliser son CPF en 2026 : démarches, meilleures formations éligibles, reste à charge et arnaques à éviter.";"754/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/utiliser-profil-riasec-orientation";"/blog/utiliser-profil-riasec-orientation";"Comment utiliser ton profil RIASEC pour choisir une voie | Jobmi";"386/600";"Bon";"Profil RIASEC et orientation : comment interpréter tes résultats, choisir des familles de métiers et transformer le test en actions concrètes.";"831/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/carte-orientation";"/carte-orientation";"Carte orientation, salons et immersions pour les 18–25 ans | Jobmi";"397/600";"Bon";"Trouve sur la carte Jobmi les salons, journées portes ouvertes, ateliers métiers et immersions utiles à ton orientation.";"709/920";"Bon";"";"app/carte-orientation/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/lyon";"/carte-orientation/lyon";"Carte des événements d’orientation à Lyon pour les 18–25 ans | Jobmi";"419/600";"Bon";"Repère les salons, forums alternance, JPO et événements utiles pour avancer dans ton orientation à Lyon.";"633/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/nantes";"/carte-orientation/nantes";"Carte des événements d’orientation à Nantes pour les 18–25 ans | Jobmi";"430/600";"Bon";"Retrouve les événements d’orientation utiles à Nantes : salons, ateliers, JPO et formats de découverte pour les 18–25 ans.";"731/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/paris";"/carte-orientation/paris";"Carte des événements d’orientation à Paris pour les 18–25 ans | Jobmi";"421/600";"Bon";"Salons, journées portes ouvertes, immersions, ateliers métiers et événements utiles pour s’orienter à Paris.";"647/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/contact";"/contact";"Contact | Jobmi";"94/600";"Bon";"Une question sur Jobmi ? Contacte notre équipe via ce formulaire.";"391/920";"Bon";"";"app/contact/layout.tsx"
"Bon";"https://jobmi.fr/inscription";"/inscription";"Inscription | Jobmi";"113/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/inscription/layout.tsx"
"Bon";"https://jobmi.fr/me-connecter";"/me-connecter";"Connexion | Jobmi";"110/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/me-connecter/layout.tsx"
"Bon";"https://jobmi.fr/mention-legales";"/mention-legales";"Mentions Légales | Jobmi";"154/600";"Bon";"Consultez les mentions légales du site Jobmi.";"277/920";"Bon";"";"app/mention-legales/page.tsx + app/mention-legales/layout.tsx"
"Bon";"https://jobmi.fr/orientation-paris";"/orientation-paris";"Orientation à Paris pour les 18–25 ans | Salons, tests et immersions | Jobmi";"452/600";"Bon";"Guide local pour avancer dans ton orientation à Paris : test d'orientation, salons étudiants, JPO, ateliers métiers, stages et immersions.";"812/920";"Bon";"";"data/geoPages.ts"
"Bon";"https://jobmi.fr/outil/temps-devant-toi";"/outil/temps-devant-toi";"Combien de temps te reste-t-il vraiment pour changer de voie ? | Jobmi";"419/600";"Bon";"Visualise ton temps de vie mois par mois pour comprendre qu'une réorientation à 18, 20 ou 25 ans n'arrive pas trop tard.";"716/920";"Bon";"";"app/outil/temps-devant-toi/page.tsx"
"Bon";"https://jobmi.fr/outils";"/outils";"Les outils | Jobmi";"109/600";"Bon";"Retrouve les outils Jobmi pour clarifier ton orientation, remettre une réorientation en perspective et avancer plus concrètement.";"763/920";"Bon";"";"app/outils/page.tsx"
"Bon";"https://jobmi.fr/profil";"/profil";"Profil | Jobmi";"82/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/profil/layout.tsx"
"Bon";"https://jobmi.fr/profile";"/profile";"Mon profil | Jobmi";"109/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/profile/layout.tsx"
"Bon";"https://jobmi.fr/reconversion";"/reconversion";"Reconversion professionnelle à 20 ans — Guide complet pour jeunes | Jobmi";"449/600";"Bon";"Changer de voie à 20 ans, c'est possible et souvent le meilleur moment. Guide complet : par où commencer, comment financer, erreurs à éviter.";"853/920";"Bon";"";"app/reconversion/page.tsx"
"Bon";"https://jobmi.fr/test";"/test";"Passer le test d'orientation gratuit (RIASEC) | Jobmi";"311/600";"Bon";"Passe le test d'orientation RIASEC gratuit Jobmi. En 15 min, découvre ton profil, tes familles de métiers et tes prochaines étapes concrètes.";"839/920";"Bon";"";"app/test/page.tsx + app/test/layout.tsx"
"Bon";"https://jobmi.fr/tester-metier/developpeur-web";"/tester-metier/developpeur-web";"Comment tester le métier de développeur web avant une formation | Jobmi";"441/600";"Bon";"Découvre comment tester le métier de développeur web : observation, mini-projet, immersion, questions à poser et signaux à vérifier avant une formation.";"916/920";"Bon";"";"data/jobTestingPages.ts"
"Bon";"https://jobmi.fr/tester-metier/infirmier";"/tester-metier/infirmier";"Comment tester le métier d'infirmier avant de t'engager | Jobmi";"377/600";"Bon";"Relation patient, rythme, charge émotionnelle, études : voici comment tester le métier d'infirmier avant une formation ou une réorientation.";"828/920";"Bon";"";"data/jobTestingPages.ts"
"Bon";"https://jobmi.fr/tester-metier/ux-designer";"/tester-metier/ux-designer";"Comment tester le métier d'UX designer avant une école | Jobmi";"382/600";"Bon";"Atelier, portfolio, recherche utilisateur, outils : découvre comment tester le métier d'UX designer avant une formation design ou digitale.";"814/920";"Bon";"";"data/jobTestingPages.ts"
